Gender,Age,aut1,aut2,aut3,aut4,com1,com2,com3,com4,rel1,rel2,rel3,rel4,CI1,CI2,CI3,CI4,CI5,CI6,PE1,PE2,PE3,PE4,PE5,PE6,ach1,ach2,self-perc
1,33,5,5,5,5,5,4,5,5,3,5,5,3,4,1,4,4,2,4,3,3,4,4,3,4,3.8,5,3
1,33,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,2,4,5,5,5,4,5,5,4,4
1,33,5,5,3,3,5,4,4,4,3,3,3,4,3,3,3,4,5,2,4,4,4,4,4,5,3.6,5,3
1,34,5,5,5,5,5,4,4,4,4,4,4,3,4,3,4,4,4,5,3,3,4,4,4,4,4.8,5,5
1,34,5,4,4,3,4,4,4,4,5,5,3,3,4,4,5,5,4,3,2,2,2,4,4,4,4,3,4
1,34,5,5,5,5,5,5,4,4,3,3,4,4,5,2,2,1,1,1,4,5,5,5,5,5,4.8,3,5
1,34,5,5,5,5,5,4,3,5,3,1,1,1,5,5,5,5,5,5,1,5,3,3,5,5,3,3,3
2,34,5,5,5,4,5,4,4,4,4,4,4,5,4,4,4,3,4,4,4,5,5,5,5,5,5,5,4
1,34,5,5,5,5,5,4,4,4,4,4,4,3,4,3,4,4,4,5,3,3,4,4,4,4,4.8,5,5
1,34,5,5,5,5,5,4,4,4,4,4,4,3,4,3,4,4,4,5,3,3,4,4,4,4,4.8,5,5
2,35,5,4,4,5,4,2,2,3,3,3,3,3,4,4,5,4,4,4,3,2,3,3,3,3,2.8,4,3
2,35,5,5,5,4,5,4,4,4,3,3,4,4,4,2,4,4,3,4,3,4,4,4,5,5,3.4,6,2
1,35,4,5,5,5,4,3,4,4,4,4,5,3,3,4,5,4,4,2,2,3,3,3,4,4,2.8,4,1
1,35,5,5,5,5,5,5,4,4,4,4,3,1,5,4,5,5,4,5,3,5,4,4,4,4,4.6,3,3
1,35,5,3,2,4,2,2,4,4,2,2,2,2,5,1,5,5,1,1,2,5,4,5,1,5,2.4,5,4
2,35,5,4,4,5,4,2,2,3,3,3,3,3,4,4,5,4,4,4,3,2,3,3,3,3,2.8,4,4
1,37,5,5,5,5,5,5,4,5,5,5,5,4,4,4,3,4,2,2,5,4,4,4,4,4,5,5,5
1,37,5,5,5,5,5,5,5,5,3,5,3,5,4,2,2,3,4,4,4,5,5,5,4,4,4.8,5,3
1,37,5,5,5,5,4,3,4,4,4,4,3,3,5,4,4,3,4,5,4,4,5,5,5,5,4.4,4,4
2,38,5,4,4,2,3,2,3,4,2,2,4,1,3,2,4,4,2,3,3,4,4,4,4,4,3.4,5,5
1,40,2,1,1,2,1,2,2,2,1,2,1,2,2,2,1,2,3,2,2,1,2,1,3,1,1.6,1,1
1,42,5,4,4,4,4,4,4,4,4,3,2,2,4,4,4,4,2,2,2,4,4,4,4,4,3.2,2,2
1,43,4,4,4,5,5,4,4,4,3,3,4,3,4,3,4,3,5,5,3,5,5,4,5,5,3.4,3,2
1,44,5,5,5,5,5,5,5,5,3,2,4,2,3,2,2,3,3,4,4,5,5,5,4,5,4.2,5,3
1,45,4,3,3,4,4,3,2,4,3,3,3,2,2,2,4,4,4,4,3,4,4,4,4,4,3.4,2,3
1,45,5,5,5,5,5,4,5,5,3,3,5,2,5,1,3,5,3,5,3,5,5,5,5,5,3.4,4,3
2,48,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,4,4,5,5,4,5,3.8,2,2
