	Unnamed: 0	author	published_at	updated_at	like_count	text	newtext
1960	98.0	Dawndayss	2023-05-30T19:43:46Z	2023-05-30T19:43:46Z	2	We want to see more of John too	We want to see more of John too
1961	99.0	reginaburgess5599	2023-05-30T19:40:21Z	2023-05-30T19:40:21Z	1	love you all	love you all
1962	0.0	HXLIASMR	2021-01-08T23:14:19Z	2021-01-08T23:14:19Z	39	"BIG SHOUT OUT TO CHASITY FOR SPONSORING THE TACO PARTY! HOPE YOU ENJOYED IT! CHEERS! SIDE NOTE - MY MIC WAS ACTIN A FOOL IN THIS ONE UNFORTUNATELYWILL DOUBLE CHECK FOR NEXT TIME.Other Ways To Support The ChannelRequest/Sponsor A Specific Meal You Want Me To Make Or Eat With A Dedicated Shout Out! Send Food Cost Here <a href=""https://www.paypal.me/BLACKHOODY"">https://www.paypal.me/BLACKHOODY</a> Leave A Detailed Message About The Meal Youre Requesting And I Will Make It"	"BIG SHOUT OUT TO CHASITY FOR SPONSORING THE TACO PARTY! HOPE YOU ENJOYED IT! CHEERS! SIDE NOTE - MY MIC WAS ACTIN A FOOL IN THIS ONE UNFORTUNATELYWILL DOUBLE CHECK FOR NEXT TIME.Other Ways To Support The ChannelRequest/Sponsor A Specific Meal You Want Me To Make Or Eat With A Dedicated Shout Out! Send Food Cost Here <a href="" Leave A Detailed Message About The Meal You Are Requesting And I Will Make It"
1963	1.0	UWantItWorldDotCom	2024-03-31T03:05:33Z	2024-03-31T03:05:33Z	0	how you doing i will keep you in my prayers	how you doing i will keep you in my prayers
1964	2.0	ruthsmelcer6447	2024-03-07T03:52:56Z	2024-03-07T03:52:56Z	0	Meat sour cream homemade hot sauce a mixture of lettuce cilantro tomato and avocado. Top it off with a shit ton of shredded Mexican 4 cheese blend.	Meat sour cream homemade hot sauce a mixture of lettuce cilantro tomato and avocado. Top it off with a shit ton of shredded Mexican 4 cheese blend.
1965	3.0	christinaball7742	2023-12-05T15:03:36Z	2023-12-05T15:03:36Z	0	Looks good! One of my favorite foods!	Looks good! One of my favorite foods!
1966	4.0	nickawilliams5175	2023-10-05T14:12:52Z	2023-10-05T14:12:52Z	0	Quick question	Quick question
1967	5.0	neshamaria7499	2023-09-12T06:06:54Z	2023-09-12T06:06:54Z	0	Why u shakin???	Why you shakin???
1968	6.0	sashagold3463	2023-08-27T18:03:14Z	2023-08-27T18:03:14Z	0	That&#39;s my favorite hot sauce	That&#39;s my favorite hot sauce
1969	7.0	user-mo4cp6kg7u	2023-08-09T19:46:19Z	2023-08-09T19:46:19Z	0	 is when he starts eating	is when he starts eating
1970	8.0	sweetliz	2023-07-10T21:59:09Z	2023-07-10T22:04:39Z	0	starts to eat  yes love messy eating 	starts to eat yes love messy eating 
